-,-,-
-406, -866, 215
-686, -816, 239
-1072, -763, 60
-1626, -899, 0
-1989, -1202, -290
-1998, -1345, -389
-1962, -1219, -270
-1513, -1053, 30
-801, -739, 494
-73, -385, 773
563, -196, 879
1164, -170, 1051
1836, -66, 1127
1836, -66, 1127
1997, 146, 1016
1997, 423, 801
1997, 622, 791
1997, 580, 853
1997, 380, 799
1966, 190, 768
1090, -422, 818
-369, -1558, 962
-1747, -1998, 933
-1998, -1989, 787
-1998, -1998, 438
-1998, -1998, 878
-1998, -1998, 568
-1998, -1753, 289
-1998, -1214, -73
-1998, -629, 19
-1894, -285, 210
-1209, -187, 648
-472, -181, 861
100, -218, 422
100, -218, 422
1044, -421, 527
1930, -964, 1763
1997, -1015, 1998
-,-,-
-1138, -669, -76
-1666, -650, -433
-1998, -596, -1071
-1998, -825, -1111
-1998, -1043, -805
-1995, -902, -219
-1358, -518, 602
-252, -272, 1287
1159, -32, 1908
1997, 308, 1998
1997, 676, 1998
1997, 1175, 1970
1997, 1439, 930
1997, 1180, 186
1871, 569, 392
1047, 17, 806
1047, 17, 806
-132, -834, 982
-1267, -1790, 685
-1931, -1998, 346
-1998, -1998, 604
-1998, -1998, 781
-1998, -1998, 823
-1998, -1842, 581
-1998, -1662, 213
-1998, -1163, 8
-1998, -573, 11
-1655, -216, 199
-1091, -271, 439
-334, 38, 695
171, -38, 396
996, -212, 406
1887, -639, 1086
1997, -1164, 1963
-,-,-
-760, -1006, -73
-1038, -887, -203
-1334, -710, -370
-1794, -667, -381
-1998, -632, -556
-1998, -751, -672
-1998, -851, -640
-1921, -819, -359
-1225, -766, 222
-141, -547, 895
1411, -421, 1876
1997, -389, 1998
1997, 237, 1998
1997, 1017, 1876
1997, 1480, 346
1997, 1459, -155
1875, 841, 12
1174, 483, 475
1174, 483, 475
438, 133, 638
-602, -511, 527
-1722, -1289, 233
-1998, -1956, 136
-1998, -1998, 338
-1998, -1998, 962
-1998, -1998, 1471
-1998, -1998, 873
-1998, -1939, 207
-1998, -1298, 23
-1972, -684, 314
-1430, -161, 492
-713, 209, 447
-40, 299, 469
635, -34, 481
1407, -158, 998
1992, -358, 1426
1997, -501, 1924
1997, -637, 1998
-,-,-
-1167, -860, -14
-1376, -697, -121
-1760, -698, -395
-1998, -867, -676
-1998, -889, -892
-1994, -867, -646
-1560, -775, -45
-689, -656, 671
355, -495, 1285
1337, -424, 1658
1988, -403, 1733
1997, 234, 1970
1997, 1035, 1595
1997, 1202, 657
1997, 960, 271
1946, 501, 299
1324, -6, 509
1324, -6, 509
640, -213, 676
-283, -701, 666
-1630, -1680, 603
-1998, -1998, 603
-1998, -1998, 598
-1998, -1998, 918
-1998, -1998, 921
-1998, -1951, 560
-1998, -1559, 167
-1998, -1013, -5
-1949, -613, 216
-1246, -310, 586
-492, -71, 811
57, -71, 695
686, 41, 564
-,-,-
-1135, -803, -166
-1249, -761, -166
-1381, -689, -287
-1825, -740, -478
-1998, -969, -757
-1998, -1004, -686
-1998, -842, -509
-1593, -554, -57
-765, -351, 429
374, -115, 1000
1757, 17, 1859
1997, -80, 1998
1997, 95, 1998
1997, 760, 1928
1997, 1560, 628
1997, 1619, -90
1997, 1619, -90
1771, 982, -160
900, 332, 370
-125, -307, 823
-1603, -1586, 811
-1998, -1998, 511
-1998, -1998, 511
-1998, -1998, 884
-1998, -1878, 939
-1998, -1582, 691
-1998, -1253, 297
-1998, -564, 101
-1922, -88, 368
-1251, -8, 697
-629, -250, 937
-40, -820, 1368
401, -1219, 1389
1182, -1104, 1460
1997, -180, 1612
1997, -159, 1703
1997, -416, 1790
-,-,-
-1199, -818, 39
-1393, -858, -244
-1746, -888, -397
-1992, -839, -691
-1998, -736, -863
-1996, -655, -726
-1638, -486, -335
-1011, -369, 272
-229, -311, 702
657, -413, 1378
1748, -624, 1948
1997, -252, 1998
1997, 757, 1993
1997, 757, 1993
1997, 1797, 1045
1997, 1848, -9
1944, 1063, -88
1263, 340, 332
311, -77, 645
-889, -925, 664
-1881, -1841, 399
-1998, -1998, 369
-1998, -1998, 711
-1998, -1998, 1077
-1998, -1998, 957
-1998, -1991, 432
-1998, -1582, 115
-1998, -796, 8
-1838, -275, 402
-1166, -1, 421
-577, -9, 683
29, -101, 882
29, -101, 882
586, -354, 661
1215, -926, 684
1982, -736, 1565
1997, -602, 1998
1941, -1418, 1941
1288, -1394, 1709
490, -1057, 779
32, -1062, 280
-,-,-
-962, -778, -207
-1165, -836, -67
-1598, -945, -59
-1997, -961, -516
-1998, -862, -945
-1998, -816, -915
-1936, -758, -557
-1268, -573, 133
-299, -381, 772
600, -294, 1282
1395, -380, 1453
1989, -390, 1751
1997, -146, 1998
1997, 459, 1884
1997, 1071, 971
1997, 1449, 252
1997, 1269, 57
1891, 836, 493
1891, 836, 493
1263, 419, 1014
310, -49, 1213
-1038, -905, 1177
-1983, -1779, 1046
-1998, -1998, 845
-1998, -1998, 693
-1998, -1998, 791
-1998, -1942, 599
-1998, -1800, 321
-1998, -1160, 150
-1998, -426, 215
-1592, -55, 474
-926, 176, 613
-451, 160, 721
123, -45, 849
618, -451, 553
1354, -856, 972
1997, -718, 1826
-,-,-
-836, -870, 34
-836, -870, 34
-1170, -778, -216
-1585, -755, -300
-1911, -815, -541
-1998, -1042, -573
-1998, -1106, -331
-1263, -808, 306
-341, -639, 881
-341, -639, 881
775, -401, 1369
1820, -359, 1792
1997, -285, 1998
1997, 322, 1994
1997, 1396, 1189
1997, 1721, 34
1997, 1323, -298
1964, 856, 68
1231, 639, 656
